releve.n	site_ID	plot_ID	subplot_ID	area	author	date	locality	lat	long	acc	aspect	incl	alt	habitat	comment	management	management_detail	degradation	cover_tot	cover_e2	cover_e1	cover_e0	cover_moss	cover_lichen	cover_litter	bare_ground	gravel	rock	height_mean_e2	height_mean_e1	height_max_e1
1	ENV01	ENV01_1	NA	25	HC/DK	20230524	Stolova hora - vrcholove plato	48.8395158	16.6374569	NA	-1	0		NA		abandoned/rarely mowed	sometimes mowed, very abandoned		NA	0	85	0	NA	NA	50	NA	NA	NA	NA	90	NA
2	ENV01	ENV01_2	NA	25	HC/DK	20230524	Stolova hora - vrcholove plato	48.8396189	16.6373628	NA	-1	0		NA		irregular mowing	sometimes mowed, in slightly better condition		NA	0	75	0	NA	NA	50	NA	NA	NA	NA	65	NA
3	ENV02	ENV02_1	NA	25	HC/DK	20230525	Klentnicke sady	48.842011	16.650953	NA	292.5	10		NA		mowing	hand mowed area		NA	0	75	40	NA	NA	20	NA	NA	NA	NA	30	100
4	ENV03	ENV03_1	NA	25	HC/DK	20230526	Stolova hora - jizni upati	48.8359903	16.6391308	NA	247.5	5		NA		irregular mowing	sometimes mowed, in better condition		NA	0	70	30	NA	NA	40	NA	NA	NA	NA	50	NA
5	ENV03	ENV03_2	NA	25	HC/DK	20230526	Stolova hora - jizni upati	48.8357881	16.6398308	NA	337.5	8		NA	apparently long-term neglected site, habitat with shallower soil; litter old and thick	abandoned	uncut? in worse condition		NA	0	60	40	NA	NA	60	NA	NA	NA	NA	45	NA
6	ENV04	ENV04_1	NA	25	HC/DK	20230530	Langewart	48.7997836	16.5193333	NA	22.5	7		NA		abandoned	recent time not mown, abandoned		NA	0	70	15	NA	NA	10	NA	NA	NA	NA	60	150
7	ENV05	ENV05_1	NA	25	HC/DK	20230530	Skalky u Sedlece	48.7784783	16.67272	NA	-1	0		NA	area apparently not mowed or grazed for a long time, a lot of litter, a high layer; E2 - 5%: Crat mono 1, Pru spi +	abandoned	abandoned		NA	5	50	1	NA	NA	70	NA	NA	NA	NA	50	120
8	ENV05	ENV05_2	NA	25	HC/DK	20230530	Skalky u Sedlece	48.7791969	16.6726883	NA	-1	0		NA		mowing/grazing	mowed (and grazed) area		NA	0	70	15	NA	NA	20	NA	NA	NA	NA	30	100
9	ENV06	ENV06_1	NA	25	HC/DK	20230601	Devin - sever	48.8749975	16.64547	NA	292.5	10		NA	a grassy hill above the area, a lot of litter there, E2 Rosa sp. 3%	mowing	area in better condition, mowed?		NA	3	70	20	NA	NA	40	NA	NA	NA	NA	40	120
10	ENV06	ENV06_2	NA	25	HC/DK	20230601	Devin - sever	48.8736467	16.6422414	NA	337.5	2		NA	an overgrown place	abandoned	abandoned, not mown		NA	0	55	30	NA	NA	40	NA	NA	NA	NA	60	140
11	ENV07	ENV07_1	NA	25	HC/DK	20230605	Studankovy vrch	48.7933597	16.7206814	NA	270	8		NA		mowing	mowed area, better		NA	0	70	30	NA	NA	20	NA	NA	NA	NA	30	90
12	ENV07	ENV07_2	NA	25	HC/DK	20230605	Studankovy vrch	48.7932375	16.7210019	NA	270	5		NA		mowing	mowed area, worse		NA	0	80	20	NA	NA	30	NA	NA	NA	NA	50	120
13	ENV08	ENV08_1	NA	25	HC/DK	20230606	Pavi kopec	48.7633011	16.6943831	NA	337.5	5		NA		irregular mowing?	mown area but with old litter		NA	0	60	50	NA	NA	50	NA	NA	NA	NA	40	90
14	ENV08	ENV08_2	NA	25	HC/DK	20230606	Pavi kopec	48.7638692	16.6938883	NA	0	7		NA		mowing	mowed area, less litter		NA	0	55	70	NA	NA	30	NA	NA	NA	NA	35	100
