area	releve.n	plot_ID	subplot_ID	layer	species	cover	comment
25	1	ENV01_1	NA	H	Achillea millefolium agg.	3	
25	1	ENV01_1	NA	H	Anthriscus cerefolium	0.5	
25	1	ENV01_1	NA	H	Arenaria serpyllifolia	0.5	
25	1	ENV01_1	NA	H	Arrhenatherum elatius	62.5	
25	1	ENV01_1	NA	H	Carduus acanthoides	3	
25	1	ENV01_1	NA	H	Centaurea scabiosa	3	
25	1	ENV01_1	NA	H	Cerastium tenoreanum	0.05	
25	1	ENV01_1	NA	H	Erysimum diffusum	0.05	
25	1	ENV01_1	NA	H	Falcaria vulgaris	3	
25	1	ENV01_1	NA	H	Festuca rupicola	3	
25	1	ENV01_1	NA	H	Galium glaucum	3	
25	1	ENV01_1	NA	H	Galium verum	3	
25	1	ENV01_1	NA	H	Geranium pusillum	0.05	
25	1	ENV01_1	NA	H	Hesperis tristis	0.05	
25	1	ENV01_1	NA	H	Medicago falcata	0.5	
25	1	ENV01_1	NA	H	Microthlaspi perfoliatum	0.05	
25	1	ENV01_1	NA	H	Ornithogalum kochii	0.05	
25	1	ENV01_1	NA	H	Salvia pratensis	10	
25	1	ENV01_1	NA	H	Securigera varia	0.5	
25	1	ENV01_1	NA	H	Taraxacum sect. Taraxacum	0.5	
25	1	ENV01_1	NA	H	Trifolium campestre	0.5	
25	1	ENV01_1	NA	H	Veronica arvensis	0.05	
25	1	ENV01_1	NA	H	Veronica chamaedrys agg.	0.5	
25	1	ENV01_1	NA	H	Vicia angustifolia	0.5	
25	1	ENV01_1	NA	H	Vicia tetrasperma	0.5	
25	1	ENV01_1	NA	H	Viola tricolor	0.5	
25	2	ENV01_2	NA	H	Achillea millefolium agg.	20	
25	2	ENV01_2	NA	H	Arenaria serpyllifolia	0.5	
25	2	ENV01_2	NA	H	Arrhenatherum elatius	20	
25	2	ENV01_2	NA	H	Berteroa incana	0.05	
25	2	ENV01_2	NA	H	Carduus acanthoides	3	
25	2	ENV01_2	NA	H	Centaurea scabiosa	3	
25	2	ENV01_2	NA	H	Cerastium tenoreanum	0.5	
25	2	ENV01_2	NA	H	Echium vulgare	0.5	
25	2	ENV01_2	NA	H	Erysimum diffusum	0.05	
25	2	ENV01_2	NA	H	Falcaria vulgaris	0.5	
25	2	ENV01_2	NA	H	Festuca rupicola	37.5	
25	2	ENV01_2	NA	H	Galium glaucum	0.5	
25	2	ENV01_2	NA	H	Galium verum	0.5	
25	2	ENV01_2	NA	H	Hesperis tristis	0.5	
25	2	ENV01_2	NA	H	Hypericum perforatum	0.5	
25	2	ENV01_2	NA	H	Lactuca serriola	0.05	
25	2	ENV01_2	NA	H	Medicago falcata	0.5	
25	2	ENV01_2	NA	H	Myosotis arvensis	0.5	
25	2	ENV01_2	NA	H	Ornithogalum kochii	0.5	
25	2	ENV01_2	NA	H	Phleum phleoides	0.5	
25	2	ENV01_2	NA	H	Pimpinella saxifraga	0.5	
