plot_ID,releve.n,site_ID,subplot_ID,area,author,date,locality,lat,long,acc,aspect,incl,alt,habitat,comment,management_corrected,management_original,management_detail,degradation,cover_tot,cover_e2,cover_e1,cover_e0,cover_moss,cover_lichen,cover_litter,bare_ground,gravel,rock,height_mean_e2,height_mean_e1,height_max_e1,management_corrected,mowing,mosaic
ENV06_2,10,ENV06,NA,25,HC/DK,20230601,Devin - sever,48.8736467,16.6422414,NA,337.5,2,NA,NA,an overgrown place,abandoned,abandoned,"abandoned, not mown",NA,NA,0,55,30,NA,NA,40,NA,NA,NA,NA,60,140,abandoned,0,0
ENV44_2,77,ENV44,ENV44_2B,25,DB,20230526,PP Navdavky u Nemcan,49.15564,16.92205,3,325,17,269,T34/shrub,area around - shrubs/trees,abandoned,abandoned,abandoned at least last years,36789,65,15,50,2,2,0,75,5,0,0,130,30,NA,abandoned,0,0
ENV48_1,84,ENV48,ENV48_1B,25,DB,20230527,PP Roviny,49.15402,17.05435,3,295,20,288,T34/shrub,"a lot of litter, area around overgrown by shrubs, but was mown before - branches of shrubs were many times cut",abandoned,abandoned,"not mown last years, but mown before",3678,70,30,45,10,10,0,80,1,0,0,80,25,NA,abandoned,0,0
ENV03_2,5,ENV03,NA,25,HC/DK,20230526,Stolova hora - jizni upati,48.8357881,16.6398308,NA,337.5,8,NA,NA,"apparently long-term neglected site, habitat with shallower soil; litter old and thick",abandoned,abandoned,uncut? in worse condition,NA,NA,0,60,40,NA,NA,60,NA,NA,NA,NA,45,NA,abandoned,0,0
ENV04_1,6,ENV04,NA,25,HC/DK,20230530,Langewart,48.7997836,16.5193333,NA,22.5,7,NA,NA,NA,abandoned,abandoned,"recent time not mown, abandoned",NA,NA,0,70,15,NA,NA,10,NA,NA,NA,NA,60,150,abandoned,0,0
ENV09_1,15,ENV09,NA,25,HC/DK,20230613,Skalky u Havraniku,48.7989164,16.0079367,NA,-1,0,NA,NA,NA,abandoned,abandoned,"with a layer of litter, abandoned?",NA,NA,0,70,1,NA,NA,50,NA,NA,NA,NA,60,130,abandoned,0,0
ENV10_1,16,ENV10,NA,25,HC/DK,20230613,Pusty kopec u Konic,48.8121075,16.038875,NA,-1,0,NA,NA,a lot of litter; E2 - 2%: Rosa sp. 1,abandoned,abandoned,unmown area,NA,NA,2,60,1,NA,NA,80,NA,NA,NA,NA,65,130,abandoned,0,0
ENV12_2,21,ENV12,NA,25,HC/DK,20230619,Dunajovicke kopce - jih,48.8366894,16.5674519,NA,0,18,NA,NA,NA,abandoned,abandoned,abandoned,NA,NA,0,70,10,NA,NA,10,NA,NA,NA,NA,60,150,abandoned,0,0
ENV13_2,23,ENV13,NA,25,HC/DK,20230702,Dunajovicke kopce - stred,48.8470017,16.5642456,NA,22.5,3,NA,NA,NA,abandoned,abandoned,abandoned,NA,NA,0,70,5,NA,NA,40,NA,NA,NA,NA,65,120,abandoned,0,0
ENV17_2,33,ENV17,NA,25,HC/DK,20230605,Anensky vrch,48.825873,16.618382,NA,45,10,NA,NA,"uncut, tall, closed, generalists",abandoned,abandoned,abandoned,NA,NA,0,80,15,NA,NA,20,NA,NA,NA,NA,30,150,abandoned,0,0
