plot_ID,site_ID,management,species_group,species_cover
ENV02_1,ENV02,regular_mowing,endg,5.55
ENV02_1,ENV02,regular_mowing,charact,86.15
ENV02_1,ENV02,regular_mowing,exp,11
ENV02_1,ENV02,regular_mowing,inv,10
ENV02_1,ENV02,regular_mowing,woody,0.5
ENV02_1,ENV02,regular_mowing,other,4.5
ENV02_1,ENV02,regular_mowing,all,101.7
ENV03_1,ENV03,irregular_mowing,endg,1.5
ENV03_1,ENV03,irregular_mowing,charact,76.65
ENV03_1,ENV03,irregular_mowing,exp,20.5
ENV03_1,ENV03,irregular_mowing,inv,3
ENV03_1,ENV03,irregular_mowing,woody,0.1
ENV03_1,ENV03,irregular_mowing,other,15.35
ENV03_1,ENV03,irregular_mowing,all,96.1
ENV03_2,ENV03,abandoned,endg,2.05
ENV03_2,ENV03,abandoned,charact,51
ENV03_2,ENV03,abandoned,exp,23.5
ENV03_2,ENV03,abandoned,inv,10
ENV03_2,ENV03,abandoned,woody,3
ENV03_2,ENV03,abandoned,other,8.55
ENV03_2,ENV03,abandoned,all,74.1
ENV04_1,ENV04,abandoned,endg,4
ENV04_1,ENV04,abandoned,charact,13
ENV04_1,ENV04,abandoned,exp,60.5
ENV04_1,ENV04,abandoned,inv,20.5
ENV04_1,ENV04,abandoned,woody,58.5
ENV04_1,ENV04,abandoned,other,32.25
ENV04_1,ENV04,abandoned,all,131.25
ENV04_2,ENV04,regular_mowing,endg,19.81
ENV04_2,ENV04,regular_mowing,charact,88.9
ENV04_2,ENV04,regular_mowing,exp,10.51
ENV04_2,ENV04,regular_mowing,inv,10
ENV04_2,ENV04,regular_mowing,woody,10.01
ENV04_2,ENV04,regular_mowing,other,22.63
ENV04_2,ENV04,regular_mowing,all,137.85
ENV05_1,ENV05,abandoned,endg,3.55
ENV05_1,ENV05,abandoned,charact,64.15
ENV05_1,ENV05,abandoned,exp,20.5
ENV05_1,ENV05,abandoned,inv,0.5
ENV05_1,ENV05,abandoned,woody,11
ENV05_1,ENV05,abandoned,other,5.1
ENV05_1,ENV05,abandoned,all,84.25
ENV05_2,ENV05,regular_mowing,endg,13.5
ENV05_2,ENV05,regular_mowing,charact,70
ENV05_2,ENV05,regular_mowing,exp,21
ENV05_2,ENV05,regular_mowing,inv,0
ENV05_2,ENV05,regular_mowing,woody,0.5
ENV05_2,ENV05,regular_mowing,other,9.05
ENV05_2,ENV05,regular_mowing,all,83.05
ENV06_1,ENV06,irregular_mowing,endg,1.1
ENV06_1,ENV06,irregular_mowing,charact,97
ENV06_1,ENV06,irregular_mowing,exp,13.5
ENV06_1,ENV06,irregular_mowing,inv,10
ENV06_1,ENV06,irregular_mowing,woody,10.5
ENV06_1,ENV06,irregular_mowing,other,14.5
ENV06_1,ENV06,irregular_mowing,all,135.6
ENV06_2,ENV06,abandoned,endg,0.5
ENV06_2,ENV06,abandoned,charact,57
ENV06_2,ENV06,abandoned,exp,18.5
ENV06_2,ENV06,abandoned,inv,20
ENV06_2,ENV06,abandoned,woody,14
ENV06_2,ENV06,abandoned,other,12.1
ENV06_2,ENV06,abandoned,all,107.1
ENV07_1,ENV07,regular_mowing,endg,33
ENV07_1,ENV07,regular_mowing,charact,78.5
ENV07_1,ENV07,regular_mowing,exp,18.5
ENV07_1,ENV07,regular_mowing,inv,3
ENV07_1,ENV07,regular_mowing,woody,8.5
ENV07_1,ENV07,regular_mowing,other,12.05
ENV07_1,ENV07,regular_mowing,all,112.55
ENV07_2,ENV07,irregular_mowing,endg,10
ENV07_2,ENV07,irregular_mowing,charact,73
ENV07_2,ENV07,irregular_mowing,exp,10
ENV07_2,ENV07,irregular_mowing,inv,10
ENV07_2,ENV07,irregular_mowing,woody,6.5
ENV07_2,ENV07,irregular_mowing,other,47.5
ENV07_2,ENV07,irregular_mowing,all,137.5
ENV08_1,ENV08,irregular_mowing,endg,40.05
ENV08_1,ENV08,irregular_mowing,charact,82.5
