plot_ID,site_ID,management,species_group,species_number
ENV02_1,ENV02,regular_mowing,endg,7
ENV02_1,ENV02,regular_mowing,charact,28
ENV02_1,ENV02,regular_mowing,exp,3
ENV02_1,ENV02,regular_mowing,inv,1
ENV02_1,ENV02,regular_mowing,woody,1
ENV02_1,ENV02,regular_mowing,other,9
ENV02_1,ENV02,regular_mowing,all,41
ENV03_1,ENV03,irregular_mowing,endg,3
ENV03_1,ENV03,irregular_mowing,charact,14
ENV03_1,ENV03,irregular_mowing,exp,2
ENV03_1,ENV03,irregular_mowing,inv,1
ENV03_1,ENV03,irregular_mowing,woody,2
ENV03_1,ENV03,irregular_mowing,other,13
ENV03_1,ENV03,irregular_mowing,all,32
ENV03_2,ENV03,abandoned,endg,5
ENV03_2,ENV03,abandoned,charact,15
ENV03_2,ENV03,abandoned,exp,3
ENV03_2,ENV03,abandoned,inv,1
ENV03_2,ENV03,abandoned,woody,1
ENV03_2,ENV03,abandoned,other,13
ENV03_2,ENV03,abandoned,all,34
ENV04_1,ENV04,abandoned,endg,3
ENV04_1,ENV04,abandoned,charact,7
ENV04_1,ENV04,abandoned,exp,4
ENV04_1,ENV04,abandoned,inv,2
ENV04_1,ENV04,abandoned,woody,5
ENV04_1,ENV04,abandoned,other,30
ENV04_1,ENV04,abandoned,all,48
ENV04_2,ENV04,regular_mowing,endg,15
ENV04_2,ENV04,regular_mowing,charact,28
ENV04_2,ENV04,regular_mowing,exp,6
ENV04_2,ENV04,regular_mowing,inv,1
ENV04_2,ENV04,regular_mowing,woody,5
ENV04_2,ENV04,regular_mowing,other,26
ENV04_2,ENV04,regular_mowing,all,71
ENV05_1,ENV05,abandoned,endg,3
ENV05_1,ENV05,abandoned,charact,14
ENV05_1,ENV05,abandoned,exp,6
ENV05_1,ENV05,abandoned,inv,1
ENV05_1,ENV05,abandoned,woody,6
ENV05_1,ENV05,abandoned,other,7
ENV05_1,ENV05,abandoned,all,30
ENV05_2,ENV05,regular_mowing,endg,3
ENV05_2,ENV05,regular_mowing,charact,19
ENV05_2,ENV05,regular_mowing,exp,3
ENV05_2,ENV05,regular_mowing,inv,0
ENV05_2,ENV05,regular_mowing,woody,1
ENV05_2,ENV05,regular_mowing,other,14
ENV05_2,ENV05,regular_mowing,all,36
ENV06_1,ENV06,irregular_mowing,endg,4
ENV06_1,ENV06,irregular_mowing,charact,23
ENV06_1,ENV06,irregular_mowing,exp,6
ENV06_1,ENV06,irregular_mowing,inv,1
ENV06_1,ENV06,irregular_mowing,woody,5
