plot_ID,endg,endg_cover,charact,charact_cover,exp,exp_cover,inv,inv_cover,woody,woody_cover,other,other_cover,site_ID,expert_assessment
ENV02_1,7,5.55,28,86.15,3,11,1,10,1,0.5,9,4.5,ENV02,regular_mowing
ENV03_1,3,1.5,14,76.65,2,20.5,1,3,2,0.1,13,15.35,ENV03,irregular_mowing
ENV03_2,5,2.05,15,51,3,23.5,1,10,1,3,13,8.55,ENV03,abandoned
ENV04_1,3,4,7,13,4,60.5,2,20.5,5,58.5,30,32.25,ENV04,abandoned
ENV04_2,15,19.81,28,88.9,6,10.51,1,10,5,10.01,26,22.63,ENV04,regular_mowing
ENV05_1,3,3.55,14,64.15,6,20.5,1,0.5,6,11,7,5.1,ENV05,abandoned
ENV05_2,3,13.5,19,70,3,21,0,0,1,0.5,14,9.05,ENV05,regular_mowing
ENV06_1,4,1.1,23,97,6,13.5,1,10,5,10.5,14,14.5,ENV06,irregular_mowing
ENV06_2,1,0.5,17,57,8,18.5,1,20,4,14,11,12.1,ENV06,abandoned
ENV07_1,9,33,23,78.5,8,18.5,1,3,7,8.5,15,12.05,ENV07,regular_mowing
ENV07_2,5,10,20,73,5,10,1,10,3,6.5,16,47.5,ENV07,irregular_mowing
ENV08_1,13,40.05,25,82.5,4,4.5,1,0.5,3,1.05,4,2,ENV08,irregular_mowing
ENV08_2,16,41.5,29,74.5,4,4.05,1,0.5,2,0.55,6,3,ENV08,regular_mowing
ENV08_3,15,60.32,21,63.61,2,0.02,1,1,2,0.02,10,7.33,ENV08,irregular_mowing
ENV10_1,2,1,5,4.55,5,44,1,20,3,23.5,11,23.65,ENV10,abandoned
ENV10_2,2,3.5,13,67,3,11,1,3,1,10,9,25.55,ENV10,regular_mowing
ENV11_1,5,24,27,81,2,10.5,1,10,1,0.5,9,6.1,ENV11,regular_mowing
ENV11_2,4,4.05,22,57.05,4,4.5,1,20,3,4,9,16.5,ENV11,irregular_mowing
ENV12_1,13,40.5,28,79.5,2,1,0,0,0,0,10,5,ENV12,irregular_mowing
ENV12_2,6,27.5,21,51.05,6,22.5,1,3,6,22.5,9,9.5,ENV12,abandoned
ENV12_3,15,53,23,28.72,3,0.61,0,0,0,0,14,14.52,ENV12,abandoned
ENV13_1,9,23.55,19,77.05,4,7.5,0,0,3,4.5,16,22.55,ENV13,irregular_mowing
